,total_traffic,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
total_traffic,1.0,0.1338808084012958,-0.03288264260295127,0.008233007469867965,-0.056608115234673836,0.29772717538383014,0.08242780277846734,-0.024581400989916027,-0.026321178585868552,-0.07758083676379632
aqi,0.1338808084012958,1.0,0.4748023812644948,0.4367938415252998,0.36277515867925963,0.058621111061347514,0.41059645238919223,0.7259558376230717,0.7178601944273335,0.2814245827529346
co,-0.03288264260295127,0.4748023812644948,1.0,0.8471293461905578,0.8307119805780934,-0.5344666808668028,0.7740308810638314,0.7380812043851499,0.7211469686545854,0.42880016812203287
no,0.008233007469867965,0.4367938415252998,0.8471293461905578,1.0,0.5732312313120017,-0.35076328349179564,0.6921630953074963,0.6266005181942447,0.6203978418201033,0.3811838146078101
no2,-0.056608115234673836,0.36277515867925963,0.8307119805780934,0.5732312313120017,1.0,-0.6294424909070544,0.74981233071415,0.6413259387462787,0.6325024129381347,0.4240976951924368
o3,0.29772717538383014,0.058621111061347514,-0.5344666808668028,-0.35076328349179564,-0.6294424909070544,1.0,-0.32771431746102964,-0.3791428800440531,-0.38782438802084856,-0.13743597480468767
so2,0.08242780277846734,0.41059645238919223,0.7740308810638314,0.6921630953074963,0.74981233071415,-0.32771431746102964,1.0,0.6071757399634694,0.5942727580969791,0.4784422561115612
pm2_5,-0.024581400989916027,0.7259558376230717,0.7380812043851499,0.6266005181942447,0.6413259387462787,-0.3791428800440531,0.6071757399634694,1.0,0.9841977319124465,0.3969080151316282
pm10,-0.026321178585868552,0.7178601944273335,0.7211469686545854,0.6203978418201033,0.6325024129381347,-0.38782438802084856,0.5942727580969791,0.9841977319124465,1.0,0.3973235952790246
nh3,-0.07758083676379632,0.2814245827529346,0.42880016812203287,0.3811838146078101,0.4240976951924368,-0.13743597480468767,0.4784422561115612,0.3969080151316282,0.3973235952790246,1.0
