,total_traffic_deseasoned,co_deseasoned,no_deseasoned,no2_deseasoned,o3_deseasoned,so2_deseasoned,pm2_5_deseasoned,pm10_deseasoned,nh3_deseasoned
total_traffic_deseasoned,1.0,-0.046388950459730946,-0.025401197456970608,-0.06520969834489668,0.08327798042483203,-0.05240638039674758,0.01144222484769066,0.018520523459962055,-0.013672785764148928
co_deseasoned,-0.046388950459730946,1.0,0.8465812131144461,0.8293037331364176,-0.5488679236189277,0.7750623235976886,0.737978661856781,0.7201347561643839,0.4229287036378217
no_deseasoned,-0.025401197456970608,0.8465812131144461,1.0,0.5733567829779672,-0.36399812785883484,0.6894555017706098,0.6230872970643262,0.6165565924536169,0.3785076107685167
no2_deseasoned,-0.06520969834489668,0.8293037331364176,0.5733567829779672,1.0,-0.6495936666304689,0.7600385281094192,0.6524476038447855,0.642256402814459,0.4201503250426212
o3_deseasoned,0.08327798042483203,-0.5488679236189277,-0.36399812785883484,-0.6495936666304689,1.0,-0.3677443123265964,-0.3740900830433581,-0.3803957591067277,-0.10232651838972182
so2_deseasoned,-0.05240638039674758,0.7750623235976886,0.6894555017706098,0.7600385281094192,-0.3677443123265964,1.0,0.6116831565716561,0.5985674986932833,0.48823840213933895
pm2_5_deseasoned,0.01144222484769066,0.737978661856781,0.6230872970643262,0.6524476038447855,-0.3740900830433581,0.6116831565716561,1.0,0.9839191568608602,0.3923968827760114
pm10_deseasoned,0.018520523459962055,0.7201347561643839,0.6165565924536169,0.642256402814459,-0.3803957591067277,0.5985674986932833,0.9839191568608602,1.0,0.3920073780282404
nh3_deseasoned,-0.013672785764148928,0.4229287036378217,0.3785076107685167,0.4201503250426212,-0.10232651838972182,0.48823840213933895,0.3923968827760114,0.3920073780282404,1.0
